/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'red', None, 'left', 'left')
 -- forward : -9.21
 -- right : 1.53
 -- None : 2.01
 -- left : -9.46

('left', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.05
 -- right : 1.04
 -- None : -5.10
 -- left : -19.75

('left', 'green', 'forward', None, 'left')
 -- forward : 0.31
 -- right : 0.78
 -- None : 0.84
 -- left : 1.73

('forward', 'red', 'forward', None, 'right')
 -- forward : -20.32
 -- right : -19.47
 -- None : 1.26
 -- left : -37.61

('forward', 'green', 'right', 'left', 'left')
 -- forward : 1.52
 -- right : 0.56
 -- None : -0.27
 -- left : 0.64

('left', 'red', None, 'left', 'right')
 -- forward : -9.61
 -- right : 1.03
 -- None : 1.66
 -- left : -35.01

('right', 'green', None, 'right', None)
 -- forward : 0.90
 -- right : 1.55
 -- None : -5.40
 -- left : 0.98

('left', 'red', 'forward', None, 'right')
 -- forward : -38.47
 -- right : -18.63
 -- None : 1.97
 -- left : -39.03

('left', 'red', 'forward', 'right', 'right')
 -- forward : -19.82
 -- right : 0.00
 -- None : 1.25
 -- left : 0.00

('right', 'red', None, 'right', 'forward')
 -- forward : -8.77
 -- right : 1.53
 -- None : 1.21
 -- left : -10.01

('right', 'red', 'forward', 'left', 'left')
 -- forward : -40.54
 -- right : -15.37
 -- None : 1.47
 -- left : -19.61

('forward', 'green', 'left', 'left', 'forward')
 -- forward : 1.94
 -- right : 0.99
 -- None : 0.00
 -- left : -15.00

('forward', 'red', 'right', 'forward', 'left')
 -- forward : -30.01
 -- right : 0.00
 -- None : 1.36
 -- left : 0.00

('left', 'red', 'right', 'right', 'forward')
 -- forward : -8.92
 -- right : 0.00
 -- None : 0.62
 -- left : 0.00

('right', 'red', 'forward', 'left', 'right')
 -- forward : -20.05
 -- right : -10.13
 -- None : 1.77
 -- left : -19.53

('right', 'green', 'right', None, 'right')
 -- forward : 0.00
 -- right : 2.11
 -- None : -2.63
 -- left : -17.32

('left', 'red', 'left', None, None)
 -- forward : -10.15
 -- right : 0.73
 -- None : 2.60
 -- left : -10.11

('forward', 'red', None, None, 'left')
 -- forward : -9.54
 -- right : 1.01
 -- None : 1.50
 -- left : -10.11

('forward', 'red', 'forward', 'forward', 'left')
 -- forward : -35.27
 -- right : -18.61
 -- None : 2.04
 -- left : -19.93

('right', 'green', 'forward', 'forward', 'left')
 -- forward : 0.34
 -- right : 1.80
 -- None : 0.84
 -- left : 0.45

('right', 'green', None, 'forward', 'right')
 -- forward : 0.44
 -- right : 2.61
 -- None : -4.40
 -- left : -20.11

('right', 'red', 'left', 'right', None)
 -- forward : -10.01
 -- right : 1.72
 -- None : 1.01
 -- left : -9.52

('left', 'red', 'right', 'left', 'forward')
 -- forward : -9.48
 -- right : 0.39
 -- None : 1.90
 -- left : -4.65

('forward', 'green', 'forward', 'left', 'right')
 -- forward : 2.32
 -- right : 0.95
 -- None : -4.87
 -- left : -18.46

('left', 'red', 'right', 'right', 'right')
 -- forward : -7.06
 -- right : 0.83
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, 'right', 'right')
 -- forward : -9.63
 -- right : 1.80
 -- None : 0.49
 -- left : -20.45

('left', 'green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.04
 -- None : -2.66
 -- left : 0.00

('forward', 'red', 'left', 'right', 'left')
 -- forward : -4.52
 -- right : 0.10
 -- None : 1.31
 -- left : -6.96

('forward', 'green', 'left', None, 'right')
 -- forward : 1.79
 -- right : 1.27
 -- None : -4.56
 -- left : -19.50

('left', 'red', 'forward', None, 'forward')
 -- forward : -39.52
 -- right : -20.31
 -- None : 2.25
 -- left : -40.38

('forward', 'red', 'forward', 'left', 'left')
 -- forward : -39.24
 -- right : -19.55
 -- None : 2.38
 -- left : -39.94

('left', 'red', None, 'forward', 'left')
 -- forward : -39.67
 -- right : 1.16
 -- None : 1.46
 -- left : -39.92

('left', 'red', 'forward', 'right', 'forward')
 -- forward : -29.77
